DATE,LCEAMN01CAM189S
2000-01-01,18.25
2000-02-01,18.33
2000-03-01,18.23
2000-04-01,18.27
2000-05-01,18.42
2000-06-01,18.28
2000-07-01,18.31
2000-08-01,18.33
2000-09-01,18.25
2000-10-01,18.25
2000-11-01,18.23
2000-12-01,18.33
2001-01-01,18.34
2001-02-01,18.14
2001-03-01,18.23
2001-04-01,18.33
2001-05-01,18.52
2001-06-01,18.65
2001-07-01,18.37
2001-08-01,18.34
2001-09-01,18.36
2001-10-01,18.3
2001-11-01,18.46
2001-12-01,18.62
2002-01-01,18.6
2002-02-01,18.5
2002-03-01,18.3
2002-04-01,18.28
2002-05-01,18.56
2002-06-01,18.69
2002-07-01,19.07
2002-08-01,18.21
2002-09-01,18.58
2002-10-01,18.83
2002-11-01,18.96
2002-12-01,18.83
2003-01-01,18.75
2003-02-01,19.06
2003-03-01,18.84
2003-04-01,19.16
2003-05-01,19.22
2003-06-01,19.52
2003-07-01,19.49
2003-08-01,19.53
2003-09-01,19.78
2003-10-01,19.7
2003-11-01,19.84
2003-12-01,19.94
2004-01-01,20.11
2004-02-01,20.03
2004-03-01,19.92
2004-04-01,19.71
2004-05-01,20.16
2004-06-01,20
2004-07-01,19.77
2004-08-01,20.02
2004-09-01,19.7
2004-10-01,20.23
2004-11-01,20.41
2004-12-01,20.31
2005-01-01,20.62
2005-02-01,20.6
2005-03-01,20.34
2005-04-01,20.65
2005-05-01,20.32
2005-06-01,20.6
2005-07-01,20.33
2005-08-01,20.5
2005-09-01,20.99
2005-10-01,20.74
2005-11-01,20.55
2005-12-01,20.48
2006-01-01,20.42
2006-02-01,20.54
2006-03-01,20.51
2006-04-01,20.44
2006-05-01,20.4
2006-06-01,20.11
2006-07-01,20.29
2006-08-01,20.63
2006-09-01,20.65
2006-10-01,20.62
2006-11-01,20.63
2006-12-01,21.03
2007-01-01,20.93
2007-02-01,20.99
2007-03-01,21.13
2007-04-01,21.51
2007-05-01,21.64
2007-06-01,21.68
2007-07-01,21.78
2007-08-01,21.47
2007-09-01,21.55
2007-10-01,22.1
2007-11-01,22.16
2007-12-01,22.45
2008-01-01,22.22
2008-02-01,22.37
2008-03-01,22.64
2008-04-01,22.11
2008-05-01,22.04
2008-06-01,22.05
2008-07-01,21.68
2008-08-01,21.61
2008-09-01,21.41
2008-10-01,21.99
2008-11-01,22.25
2008-12-01,21.44
2009-01-01,21.02
2009-02-01,21.22
2009-03-01,21.39
2009-04-01,21.17
2009-05-01,20.7
2009-06-01,20.32
2009-07-01,20.19
2009-08-01,20.49
2009-09-01,21.39
2009-10-01,20.5
2009-11-01,20.67
2009-12-01,21.35
2010-01-01,21.33
2010-02-01,21.64
2010-03-01,21.71
2010-04-01,20.85
2010-05-01,21.71
2010-06-01,21.68
2010-07-01,22.3
2010-08-01,22.14
2010-09-01,22.59
2010-10-01,22.08
2010-11-01,22.4
2010-12-01,22.44
2011-01-01,22.01
2011-02-01,22.83
2011-03-01,22.61
2011-04-01,22.52
2011-05-01,22.93
2011-06-01,22.52
2011-07-01,22.35
2011-08-01,22.54
2011-09-01,22.12
2011-10-01,22.9
2011-11-01,22.63
2011-12-01,23.28
2012-01-01,22.72
2012-02-01,22.87
2012-03-01,23.02
2012-04-01,23.12
2012-05-01,23.58
2012-06-01,23.08
2012-07-01,23.44
2012-08-01,23.49
2012-09-01,23.57
2012-10-01,23.23
2012-11-01,22.95
2012-12-01,23.9
2013-01-01,23.11
2013-02-01,23.83
2013-03-01,23.49
2013-04-01,23.66
2013-05-01,22.92
2013-06-01,23.65
2013-07-01,23.31
2013-08-01,23.22
2013-09-01,23.21
2013-10-01,23.09
2013-11-01,22.37
2013-12-01,23.12
2014-01-01,22.35
2014-02-01,22.8
2014-03-01,22.88
2014-04-01,23.29
2014-05-01,22.52
2014-06-01,23.32
2014-07-01,23.51
2014-08-01,24.0
2014-09-01,24.0
2014-10-01,24.03
2014-11-01,24.26
2014-12-01,24.24
2015-01-01,23.38
2015-02-01,24.52
2015-03-01,24.27
2015-04-01,25.25
2015-05-01,24.17
2015-06-01,24.35
2015-07-01,24.63
2015-08-01,24.08
2015-09-01,24.33
2015-10-01,25.01
2015-11-01,24.96
2015-12-01,24.94
2016-01-01,25.02
2016-02-01,24.86
2016-03-01,24.73
2016-04-01,24.54
2016-05-01,23.66
2016-06-01,25.03
2016-07-01,24.97
2016-08-01,25.15
2016-09-01,24.45
2016-10-01,24.99
2016-11-01,25.04
2016-12-01,25.46
2017-01-01,25.47
2017-02-01,25.74
2017-03-01,25.82
2017-04-01,26.3
2017-05-01,25.06
2017-06-01,25.3
2017-07-01,25.9
2017-08-01,25.23
2017-09-01,25.42
2017-10-01,25.04
2017-11-01,25.47
2017-12-01,25.84
2018-01-01,25.32
2018-02-01,24.95
2018-03-01,25.77
2018-04-01,24.32
2018-05-01,25.56
2018-06-01,24.92
2018-07-01,24.84
2018-08-01,25.2
2018-09-01,25.26
2018-10-01,25.59
2018-11-01,25.8
2018-12-01,26.37
2019-01-01,25.41
2019-02-01,26.26
2019-03-01,25.74
2019-04-01,26.16
2019-05-01,25.9
2019-06-01,25.84
2019-07-01,25.82
2019-08-01,26.54
2019-09-01,25.92
2019-10-01,26.0
2019-11-01,25.96
2019-12-01,27.71
2020-01-01,26.48
2020-02-01,26.99
2020-03-01,26.45
2020-04-01,27.21
2020-05-01,26.61
2020-06-01,26.13
2020-07-01,27.1
2020-08-01,26.65
2020-09-01,26.63
2020-10-01,26.73
2020-11-01,27.17
2020-12-01,28.8
2021-01-01,27.68
2021-02-01,28.24
2021-03-01,27.72
2021-04-01,27.1
2021-05-01,27.64
2021-06-01,27.24
2021-07-01,27.69
2021-08-01,27.59
2021-09-01,27.6
2021-10-01,27.31
2021-11-01,27.58
2021-12-01,28.67
2022-01-01,28.14
2022-02-01,28.56
2022-03-01,28.9
2022-04-01,28.68
2022-05-01,28.1
2022-06-01,29.03
